"Arrival Date","Bol Number","Carrier SCAC Code","Company Address","Company Country","Company Country Code","Company Website","Company Contact Info","Company Name","Company Total Shipments","Container Size","Container Type","Destination Port","Destination Port Code","Departure Port","Departure Port Code","Estimated Arrival Date","HS Code Full Description","HS Code","HS Code Description","Last Visit Foreign Port","Master Bol Number","Marks & Numbers","Marks Numbers Raw","Notify Party Address","Notify Party Country Code","Notify Party Name","Product Description","Product Description Raw","Quantity","Quantity Unit","Supplier Address","Supplier Country","Supplier Country Code","Supplier Name","Supplier Website","Supplier Contact Info","Supplier Total Shipments","TEU","Vessel Code","Vessel Name","Voyage","Weight"
"2024/05/30","SGBVSGSH2405307","Sgbv","828 San Pablo Avenue Pinole Ca 945 64 Us","United States","US","","Phone Numbers:  --- Emails: ","Ascend Eagle Inc","2339","2000*806*802","2CG0","Oakland, Ca","2811","Shanghai","57035","20240604","","050900","","","EGLV142452204774","","","828 San Pablo Avenue Pinole Ca Us","US","Ascend Eagle Inc","Woven Sponges Pouches Disp Cotton Rolls","Non Woven Sponges Pouches Disp Cotton Rolls","1270","CTN","213024 No 90 Zhangjia Industrialar Ea Xilin Changzhou Cn","China","CN","B H Medical Products Co Ltd","","Phone Numbers:  --- Emails: ","749","1","9604081","Ever Logic","071e","4205"
"2024/05/30","MEDUO6654513","Medu, Bcsl Us-Med Line Ltd.","259 30Th Street Greeley Co 80631 United States","United States","US","","Phone Numbers:  --- Emails: ","All American Pet Proteins Llc","1168","4000*900*800","4532","Houston, Tx","5301","Anvers","42305","20240530","Products of animal origin, not elsewhere specified or included ; Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products ; Other","050690","Other","","MEDUO6654513","","","25723 Richards Road Spring Tx 77386 United States","US","Jam International Inc","Ground Venison Bones Frozen Fit Humanconsumption Cat Prodcut","Ground Venison Bones Frozen Not Fit For Humanconsumption Cat3 Prodcut Net Weight 25686","26","PKG","Nijverheidszone Begijnenmeers 39A Liedekerke Vbr 1770 Belgium","Belgium","BE","E J Foods","","Phone Numbers:  --- Emails: ","393","2.02","9314210","Maersk Tennessee","419w","26466"
"2024/05/30","MEDUO6705950","Medu, Bcsl Us-Med Line Ltd.","259 30Th Street Greeley Co 80631 United States","United States","US","","Phone Numbers:  --- Emails: ","All American Pet Proteins Llc","1168","4000*900*800","4532","Houston, Tx","5301","Anvers","42305","20240530","Products of animal origin, not elsewhere specified or included ; Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products ; Other","050690","Other","","MEDUO6705950","","","25723 Richards Road Spring Tx 77386 United States","US","Jam International Inc","Ground Venison Bones Frozen Fit Humanconsumption Cat Prodcut","Ground Venison Bones Frozen Not Fit For Humanconsumption Cat3 Prodcut Net Weight 25814","25","PKG","Nijverheidszone Begijnenmeers 39A Liedekerke Vbr 1770 Belgium","Belgium","BE","E J Foods","","Phone Numbers:  --- Emails: ","393","2.02","9314210","Maersk Tennessee","419w","26564"
"2024/05/30","MAEU720097963","Maeu, Maersk Lines, Inc.","Blvd East Toronto Ontario M5E 1A4 Ca Canada","United States","US","","Phone Numbers:  --- Emails: ","Lcbo 55 Lakeshore","10232","2000*806*802","2CB0","New York/Newark Area, Newark, Nj","4601","Puerto Manzanillo","22556","20240530","","050900","","01535, TORONTO, ONT","MAEU720097963","","Po. 102-00695868","Toronto 6200 Edwards Blvd Mississauga On L5T2V7 Canada Fax: 905 405-9309","CA","Jf Hillebrand Canada Inc","Bottles Chilean Organic Wine Shipped Board Under Deck Pda Wine Denominatio Country Chile","744 Cases With Bottles 12X750 Ml Of Chilean Organic Wine Shipped On Board Load Under Deck Pda. 2204.21 Wine With Origin Denominatio N Origin : Country Chile","744","CAS","Longitudinal Sur Km 195 Curico Rut 85 980 800-K","Brazil","BR","Soc Vinicola Miguel Torres S A","","Phone Numbers:  --- Emails: ","113","1","9440825","Dubai Express","421n","10565"
"2024/05/30","COSU6384139220","Cosu, China Ocean Steamship Ltd","Rm2102 Bldg B No 1 Keyuan Wei 1St Qingdao Sd 266000 China","United States","US","","Phone Numbers:  --- Emails: ","Qingdao New Ocean Line Co Ltd","933","4000*900*800","45R1","New York/Newark Area, Newark, Nj","4601","Halifax, Ns","13841","20240527","Products of animal origin, not elsewhere specified or included ; Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products ; Ossein and bones treated with acid","050610","Ossein and bones treated with acid","","COSU6384139220","Cers","Cers Va7283202405143 486007","Rm2102 Bldg B No 1 Keyuan Wei 1St Qingdao Sd 266000 China","US","Qingdao New Ocean Line Co Ltd","Frozen Pork Back Bones","Frozen Pork Back Bones","1300","CTN","Suite 205 1077 Sainte Mathieu Montreal Qc H3H 2S4 Canada","Canada","CA","Kristom Canada","","Phone Numbers:  --- Emails: ","3755","2.02","9780861","Cma Cgm T. Jefferson","1tu7i","26962"
"2024/05/30","DMALMNLA19622","Dmal, Danmar Lines Ltd","213 West Cutting Blvd","United States","US","","Phone Numbers:  --- Emails: ","Nutiva","1878","2000*806*800","2210","Oakland, Ca","2811","Singapore","55976","20240512","","050900","","","HLCUMN2240400022","Addressed","As Addressed","","","","Organic Coconut Aminos Philippines","Organic Coconut Aminos Philippines Origin","17","PKG","Punta Baja Rizal","Philippines","PH","Lionheart Farms Philippines Corpo","","Phone Numbers:  --- Emails: ","27","1.5","9312975","Nyk Oceanus","75","19094"
"2024/05/30","DMALMNLA19767","Dmal, Danmar Lines Ltd","213 West Cutting Blvd","United States","US","","Phone Numbers:  --- Emails: ","Nutiva","1878","2000*806*800","2210","Oakland, Ca","2811","Singapore","55976","20240512","","050900","","","HLCUMN2240400022","Addressed","As Addressed","","","","Organic Coconut Aminos Philippines","Organic Coconut Aminos Philippines Origin","17","PKG","Punta Baja Rizal","Philippines","PH","Lionheart Farms Philippines Corpo","","Phone Numbers:  --- Emails: ","27","1.5","9312975","Nyk Oceanus","75","19094"
"2024/05/30","DSVFTYO8267477","Dsvf","--Midland 2200 W Salzburg Rd","United States","US","","Phone Numbers:  --- Emails: ","Dow Silicones Corp","9855","4000*900*800","45G0","Los Angeles, Ca","2704","Tokyo","58886","20240529","Products of animal origin, not elsewhere specified or included ; Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked","050400","Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked","","HDMUTYOM21471600","Midland Dow","Midland Dow Sh# 44462235","Fc#I620 27651 Hildebrandt St Ste 200","US","Dsv Air & Sea Inc","Hazardous Chemicalsdowsil","Non Hazardous Chemicalsdowsil(Tm) Fz-2110 200Kg Dr","3","DRM","Chiba Plant Tennoz Central Tower 2-2-24 Higashi-Shinagawa Shinagawa-Ku","Japan","JP","Dow Toray Co Ltd","","Phone Numbers:  --- Emails: ","777","1.5","9312999","Nyk Orion","0076e","686"
"2024/05/30","COSU6384135570","Cosu, China Ocean Steamship Ltd","Rm2102 Bldg B No 1 Keyuan Wei 1St Qingdao Sd 266000 China","United States","US","","Phone Numbers:  --- Emails: ","Qingdao New Ocean Line Co Ltd","933","4000*900*800","45R1","New York/Newark Area, Newark, Nj","4601","Halifax, Ns","13841","20240527","Products of animal origin, not elsewhere specified or included ; Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products ; Ossein and bones treated with acid","050610","Ossein and bones treated with acid","","COSU6384135570","Cers","Cers Va7283202405133 483980","Rm2102 Bldg B No 1 Keyuan Wei 1St Qingdao Sd 266000 China","US","Qingdao New Ocean Line Co Ltd","Frozen Pork Back Bones","Frozen Pork Back Bones","1300","CTN","Suite 205 1077 Sainte Mathieu Montreal Qc H3H 2S4 Canada","Canada","CA","Kristom Canada","","Phone Numbers:  --- Emails: ","3755","2.02","9780861","Cma Cgm T. Jefferson","1tu7i","26962"
"2024/05/30","RLUSS04300737","Rlus","Southfield 21557 Telegraph Road","United States","US","","Phone Numbers:  --- Emails: ","Lear Corp","41369","2000*806*800","","Los Angeles, Ca","2704","Tokyo","58886","20240526","Products of animal origin, not elsewhere specified or included ; Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers ; Other","050590","Other","","ONEYTYOE64074400","","","","","","Feather","Feather-S3S","303","CTN","8-10-1 Tajima Sakura-Ku Saitama","Japan","JP","Sekisui Polymatech Co Ltd","","Phone Numbers:  --- Emails: ","187","1","9312999","Nyk Orion","076e","1657"
